(6678, datetime.datetime(2022, 11, 14, 10, 46, 18), 59, '0', '0', 399.0, 328.0, 336.0, 25.0, 1.0, 'ok')
(6679, datetime.datetime(2022, 11, 14, 10, 46, 20), 59, '0', '0', 399.0, 327.0, 336.0, 25.0, 1.0, 'ok')
(6680, datetime.datetime(2022, 11, 14, 10, 46, 23), 59, '0', '0', 399.0, 328.0, 335.0, 27.0, 1.0, 'ok')
(6681, datetime.datetime(2022, 11, 14, 10, 46, 24), 59, '0', '0', 400.0, 327.0, 331.0, 28.0, 1.0, 'ok')
(6683, datetime.datetime(2022, 11, 14, 10, 46, 31), 59, '0', '0', 400.0, 327.0, 328.0, 32.0, 1.0, 'ok')
(6684, datetime.datetime(2022, 11, 14, 10, 46, 33), 59, '0', '0', 399.0, 326.0, 329.0, 32.0, 1.0, 'ok')
(6685, datetime.datetime(2022, 11, 14, 10, 47), 59, '0', '0', 398.0, 327.0, 330.0, 33.0, 1.0, 'ok')
(6686, datetime.datetime(2022, 11, 14, 10, 47, 2), 59, '0', '0', 399.0, 327.0, 328.0, 0.0, 1.0, 'ok')
(6687, datetime.datetime(2022, 11, 14, 10, 47, 4), 59, '0', '0', 399.0, 328.0, 322.0, 1.0, 1.0, 'ok')
(6688, datetime.datetime(2022, 11, 14, 10, 47, 6), 59, '0', '0', 398.0, 326.0, 319.0, 2.0, 1.0, 'ok')
(6689, datetime.datetime(2022, 11, 14, 10, 47, 8), 59, '0', '0', 398.0, 327.0, 319.0, 2.0, 1.0, 'ok')
(6690, datetime.datetime(2022, 11, 14, 10, 47, 10), 59, '0', '0', 398.0, 324.0, 328.0, 3.0, 1.0, 'ok')
(6691, datetime.datetime(2022, 11, 14, 10, 47, 12), 59, '0', '0', 399.0, 328.0, 321.0, 4.0, 1.0, 'ok')
(6692, datetime.datetime(2022, 11, 14, 10, 47, 14), 59, '0', '0', 399.0, 328.0, 326.0, 5.0, 1.0, 'ok')
(6693, datetime.datetime(2022, 11, 14, 10, 47, 16), 59, '0', '0', 399.0, 328.0, 324.0, 6.0, 1.0, 'ok')
(6694, datetime.datetime(2022, 11, 14, 10, 47, 18), 59, '0', '0', 399.0, 327.0, 325.0, 7.0, 1.0, 'ok')
(6695, datetime.datetime(2022, 11, 14, 10, 47, 20), 59, '0', '0', 399.0, 327.0, 325.0, 8.0, 1.0, 'ok')
(6696, datetime.datetime(2022, 11, 14, 10, 47, 22), 59, '0', '0', 399.0, 328.0, 326.0, 8.0, 1.0, 'ok')
